variant,sensing,noise_pct,test_cv_rmse_mean,test_cv_rmse_std,test_cv_rmse_count,err_R_s_mean,err_R_s_std,err_R_s_count,err_G_s_mean,err_G_s_std,err_G_s_count,err_R_inf_mean,err_R_inf_std,err_R_inf_count,err_G_inf_mean,err_G_inf_std,err_G_inf_count,ident_mean_err_mean,ident_mean_err_std,ident_mean_err_count,err_R_zw_mean,err_R_zw_std,err_R_zw_count,err_R_wo_mean,err_R_wo_std,err_R_wo_count
V4_neural_forcing,S3,5,9.684000000000001,0.5710945849857096,5,140.84707077305725,1.3554283690865543,5,58.478826316774736,0.23337424459716646,5,127.644,2.0538330019745983,5,56.06868104525,0.39687025493123623,5,134.24553538652862,1.6940960831729288,5,145.482,0.880976730680214,5,140.10399999999998,1.4463505799079264,5
V4_neural_forcing,S3,10,13.94008,0.6140049283189838,5,141.297633172224,1.2190622143017165,5,58.55655822304145,0.20959973462129497,5,127.99600000000001,1.9664511181313398,5,56.136716036936754,0.3779285388260602,5,134.646816586112,0.9707093294523252,5,145.828,0.978069527180959,5,140.57,1.2775562609920506,5
V5_wrong_constraints,S1,0,298.03202,0.01656342355915522,5,226.9019028028597,0.02028413652452832,5,69.40978334765752,0.0018981876774286466,5,93.43,0.0,5,1422.1941303741273,0.06890519247755097,5,160.16595140142985,0.010142068262267151,5,226.902,0.019235384061662714,5,226.902,0.019235384061662714,5
V5_wrong_constraints,S1,5,298.37656000000004,1.1199006308597117,5,226.90184477429847,0.020338304872177082,5,69.40977791706374,0.0019032649934877426,5,93.43,0.0,5,1422.194009956552,0.06895224682420947,5,160.16592238714924,0.010169152436104435,5,226.902,0.019235384061662714,5,226.902,0.019235384061662714,5
V5_wrong_constraints,S1,10,298.1952,2.512431906539989,5,226.90220799010217,0.020154127704684728,5,69.40981190707815,0.0018860084297047128,5,93.43,0.0,5,1422.194058121179,0.06890028958213856,5,160.1661039950511,0.010077063852323037,5,226.9,0.01870828693386551,5,226.9,0.01870828693386551,5
V5_wrong_constraints,S2,0,298.03202,0.01656342355915522,5,226.9019028028597,0.02028413652452832,5,69.40978334765752,0.0018981876774286466,5,93.43,0.0,5,1422.1941303741273,0.06890519247755097,5,160.16595140142985,0.010142068262267151,5,226.902,0.019235384061662714,5,226.902,0.019235384061662714,5
V5_wrong_constraints,S2,5,298.37656000000004,1.1199006308597117,5,226.90184477429847,0.020338304872177082,5,69.40977791706374,0.0019032649934877426,5,93.43,0.0,5,1422.194009956552,0.06895224682420947,5,160.16592238714924,0.010169152436104435,5,226.902,0.019235384061662714,5,226.902,0.019235384061662714,5
V5_wrong_constraints,S2,10,298.1952,2.512431906539989,5,226.90220799010217,0.020154127704684728,5,69.40981190707815,0.0018860084297047128,5,93.43,0.0,5,1422.194058121179,0.06890028958213856,5,160.1661039950511,0.010077063852323037,5,226.9,0.01870828693386551,5,226.9,0.01870828693386551,5
V5_wrong_constraints,S3,0,298.03202,0.01656342355915522,5,226.9019028028597,0.02028413652452832,5,69.40978334765752,0.0018981876774286466,5,93.43,0.0,5,1422.1941303741273,0.06890519247755097,5,160.16595140142985,0.010142068262267151,5,226.902,0.019235384061662714,5,226.902,0.019235384061662714,5
V5_wrong_constraints,S3,5,298.37656000000004,1.1199006308597117,5,226.90184477429847,0.020338304872177082,5,69.40977791706374,0.0019032649934877426,5,93.43,0.0,5,1422.194009956552,0.06895224682420947,5,160.16592238714924,0.010169152436104435,5,226.902,0.019235384061662714,5,226.902,0.019235384061662714,5
V5_wrong_constraints,S3,10,298.1952,2.512431906539989,5,226.90220799010217,0.020154127704684728,5,69.40981190707815,0.0018860084297047128,5,93.43,0.0,5,1422.194058121179,0.06890028958213856,5,160.1661039950511,0.010077063852323037,5,226.9,0.01870828693386551,5,226.9,0.01870828693386551,5
